w0,opt,opt.sd,EY1,sd1,EY2,sd2
0,21.211,1.2456709,-0.36,0.04,4.95,0.07
0.05,21.211,1.2456709,-0.36,0.04,4.95,0.07
0.1,21.211,1.2456709,-0.36,0.04,4.95,0.07
0.15,22.232,4.7883883,-0.29,0.24,4.95,0.07
0.2,27.745,6.3688542,0.12,0.61,4.91,0.09
0.25,50.798,15.8550606,1.46,0.91,4.74,0.15
0.3,72.81,13.1724701,3.27,0.84,4.5,0.13
0.35,88.648,4.5117218,4.36,0.48,4.39,0.1
0.4,96.817,3.1778409,4.6,0.25,4.35,0.08
0.45,98.815,0.9642472,4.68,0.09,4.34,0.08
0.5,98.807,0.965177,4.68,0.09,4.34,0.08
0.55,98.803,1.000147,4.78,0.09,4.34,0.08
0.6,97.404,2.1413797,4.79,0.09,4.31,0.17
0.65,94.748,4.4799376,4.81,0.9,4.23,0.3
0.7,89.857,8.7636747,4.86,0.11,4.01,0.45
0.75,83.392,9.1688242,4.91,0.12,3.71,0.43
0.8,79.761,5.7300888,4.95,0.1,3.54,0.32
0.85,78.456,2.8767027,4.97,0.1,3.49,0.31
0.9,78.124,1.7593112,4.97,0.07,3.44,0.11
0.95,78.037,1.549562,4.98,0.07,3.14,0.11
1,77.903,1.6654817,5,0.07,3.04,0.11
